setting,num_images,exact_match_acc,cardinality_acc,mean_prob_low,mean_prob_haze,mean_prob_rain,mean_prob_snow,fp_rate_on_single
low,200,1,1,0.999993801,0.002019043,0.000283188,0.005962527,0
haze,200,0.99,0.99,0.239682972,0.999223173,0.001448031,0.017561987,0.01
rain,200,0.99,0.99,0.169039205,0.01894974,0.994394541,0.002930801,0.01
snow,200,1,1,0.1598088,0.011343084,0.000132865,0.999773204,0
low_haze,200,0.98,0.98,0.979784846,0.999494851,0.000619082,0.005205115,0
low_rain,200,0.975,0.975,0.980562449,0.0047777,0.998160005,0.000170732,0
low_snow,200,0.97,0.97,0.977470696,0.002338122,1.55E-05,0.999892294,0
haze_rain,200,0.97,0.97,0.296275914,0.968345344,0.997320652,0.000262814,0
haze_snow,200,0.95,0.95,0.267518222,0.984702706,9.97E-05,0.998071373,0
low_haze_rain,200,0.98,0.98,0.98181206,0.999223471,0.996101141,0.000105102,0
low_haze_snow,200,0.975,0.975,0.977924824,0.998682082,1.08E-05,0.99984771,0
